Date,Product_ID,Category,Region,Units_Sold,Customer_ID,Customer_Age,Purchase_Frequency,Revenue,Churn
2022-01-01,1051,Electronics,South,21,2101,59,6,25200,0
2022-01-02,1092,Grocery,South,14,2763,44,7,2100,0
2022-01-03,1014,Grocery,West,26,2139,34,7,3900,0
2022-01-04,1071,Electronics,South,20,2834,43,5,24000,0
2022-01-05,1060,Grocery,North,19,2654,24,6,2850,0
2022-01-06,1020,Fashion,East,20,2751,52,7,16000,0
2022-01-07,1082,Grocery,West,16,2265,32,11,2400,0
2022-01-08,1086,Grocery,West,22,2341,33,2,3300,0
2022-01-09,1074,Electronics,North,16,2572,38,10,19200,0
2022-01-10,1074,Grocery,North,31,2534,34,14,4650,0
2022-01-11,1087,Electronics,North,19,2522,62,12,22800,0
2022-01-12,1099,Grocery,North,24,2015,43,7,3600,0
2022-01-13,1023,Fashion,West,15,2560,52,1,12000,0
2022-01-14,1002,Grocery,East,22,2877,37,6,3300,0
2022-01-15,1021,Electronics,East,26,2335,37,8,31200,0
2022-01-16,1052,Grocery,North,19,2909,40,13,2850,0
2022-01-17,1001,Grocery,South,22,2389,22,1,3300,0
2022-01-18,1087,Grocery,West,16,2169,26,1,2400,0
2022-01-19,1029,Fashion,East,24,2912,40,6,19200,0
2022-01-20,1037,Fashion,North,20,2118,35,5,16000,0
2022-01-21,1001,Grocery,South,12,2990,46,3,1800,0
2022-01-22,1063,Grocery,South,24,2041,28,14,3600,0
2022-01-23,1059,Electronics,North,20,2009,60,10,24000,0
2022-01-24,1020,Electronics,West,13,2429,25,13,15600,0
2022-01-25,1032,Grocery,East,17,2467,44,10,2550,0
2022-01-26,1075,Grocery,South,21,2048,19,7,3150,0
2022-01-27,1057,Grocery,East,26,2776,40,7,3900,0
2022-01-28,1021,Grocery,East,14,2206,38,7,2100,0
2022-01-29,1088,Electronics,South,20,2678,27,14,24000,0
2022-01-30,1048,Grocery,North,21,2513,55,6,3150,0
2022-01-31,1090,Electronics,South,20,2579,21,4,24000,0
2022-02-01,1058,Electronics,South,16,2819,38,9,19200,0
2022-02-02,1041,Fashion,West,29,2983,54,12,23200,0
2022-02-03,1091,Electronics,East,18,2209,60,9,21600,0
2022-02-04,1059,Grocery,North,20,2138,29,7,3000,0
2022-02-05,1079,Electronics,East,24,2036,63,7,28800,0
2022-02-06,1014,Fashion,South,25,2217,31,8,20000,0
2022-02-07,1061,Grocery,North,18,2455,37,11,2700,0
2022-02-08,1061,Electronics,North,23,2511,64,5,27600,0
2022-02-09,1046,Grocery,North,11,2277,25,11,1650,0
2022-02-10,1061,Grocery,North,17,2179,44,9,2550,0
2022-02-11,1050,Fashion,West,22,2516,54,6,17600,0
2022-02-12,1054,Electronics,North,24,2129,58,7,28800,0
2022-02-13,1063,Fashion,South,17,2644,38,12,13600,0
2022-02-14,1002,Fashion,West,16,2610,52,7,12800,0
2022-02-15,1050,Fashion,South,12,2671,61,9,9600,0
2022-02-16,1006,Grocery,South,25,2747,56,7,3750,0
2022-02-17,1020,Grocery,East,17,2658,32,14,2550,0
2022-02-18,1072,Grocery,North,27,2358,64,3,4050,0
2022-02-19,1038,Fashion,North,16,2626,29,6,12800,0
2022-02-20,1017,Grocery,South,16,2003,51,6,2400,0
2022-02-21,1003,Grocery,North,23,2598,25,11,3450,0
2022-02-22,1088,Grocery,West,16,2557,54,12,2400,0
2022-02-23,1059,Grocery,East,28,2082,47,7,4200,0
2022-02-24,1013,Fashion,North,23,2153,20,6,18400,0
2022-02-25,1008,Electronics,North,8,2505,47,4,9600,0
2022-02-26,1089,Fashion,West,23,2508,46,14,18400,0
2022-02-27,1052,Grocery,East,20,2817,18,6,3000,0
2022-02-28,1001,Fashion,West,28,2793,33,3,22400,0
2022-03-01,1083,Grocery,South,20,2838,59,1,3000,0
2022-03-02,1091,Grocery,South,13,2799,48,1,1950,0
2022-03-03,1059,Fashion,North,29,2622,27,5,23200,0
2022-03-04,1070,Electronics,East,26,2628,47,11,31200,0
2022-03-05,1043,Fashion,South,18,2096,60,13,14400,0
2022-03-06,1007,Grocery,West,32,2939,43,14,4800,0
2022-03-07,1046,Grocery,South,15,2281,29,8,2250,0
2022-03-08,1034,Electronics,South,22,2700,57,3,26400,0
2022-03-09,1077,Grocery,West,22,2599,22,13,3300,0
2022-03-10,1080,Electronics,North,20,2818,26,2,24000,0
2022-03-11,1035,Electronics,East,22,2954,28,8,26400,0
2022-03-12,1049,Electronics,North,16,2598,64,9,19200,0
2022-03-13,1003,Electronics,West,16,2933,40,9,19200,0
2022-03-14,1001,Fashion,South,18,2537,34,2,14400,0
2022-03-15,1005,Fashion,East,13,2891,60,12,10400,0
2022-03-16,1053,Grocery,North,22,2428,30,8,3300,0
2022-03-17,1003,Grocery,West,19,2542,34,2,2850,0
2022-03-18,1053,Electronics,South,25,2125,40,7,30000,0
2022-03-19,1092,Grocery,South,25,2709,56,8,3750,0
2022-03-20,1062,Fashion,North,22,2300,26,1,17600,0
2022-03-21,1017,Fashion,West,20,2542,35,8,16000,0
2022-03-22,1089,Grocery,South,21,2366,35,3,3150,0
2022-03-23,1043,Fashion,South,21,2828,47,13,16800,0
2022-03-24,1033,Electronics,East,17,2943,59,1,20400,0
2022-03-25,1073,Fashion,South,17,2743,61,7,13600,0
